DESeq2_PDX3_CBAM44728_MLL-AF10_MEN1-WT_vehicle vs. MEN1-WT_VTP50469,Gene,log2FC,padj
,TNFRSF1B,0.405613337,0.000554855
,VEZT,-0.061891003,0.785972037
,POU2F2,-0.678622038,3.94E-09
,BRD9,-0.002276195,0.989685765
,SNX1,-0.07539835,0.53025909
,TBPL1,-0.070409742,0.828941212
,ARNTL2,-2.778784324,4.06E-41
,BCLAF1,-0.023267965,0.907004462
,SLC39A9,0.048079648,0.784348058
,ANK1,0.808850715,0.099541355
,IBSP,0.134611313,0.848110673
,TFB1M,-0.188385293,0.349068856
,RABEP1,0.032299033,0.881227652
,HMGB3,-0.869320327,7.01E-13
,NUP160,-0.558307648,1.03E-07
,BAK1,0.109926215,0.561042553
,MUSK,-0.410497514,0.546807349
,IKZF2,1.160205949,0.00404871
,GRN,0.162540748,0.12379733
,FAM13B,-0.031892829,0.872440909
,ARHGAP31,0.018424234,0.957020867
,CENPQ,-0.441623197,0.027988085
,SARS1,0.15371463,0.30082056
,RANBP3,-0.153127921,0.205008721
,ARID4A,0.123311328,0.38349229
,EIPR1,0.454766064,0.041698359
,PNPLA6,-0.275582799,0.080226569
,IFT88,-0.204659633,0.305177507
,ALG1,-0.579333417,3.94E-06
,ZCCHC8,0.242528416,0.124446843
,ABCF2,-0.0325091,0.862967207
,CHPF2,-0.063946358,0.650975766
,LRRC7,0.203889501,0.714690377
,FUT8,0.146198039,0.51794905
,UBA6,-0.086979266,0.659144977
,GAB2,1.231566726,1.25E-35
,ATP6V0A1,-0.180844301,0.39578202
,PIAS1,0.470564768,4.49E-05
,SLC4A7,-0.798966947,3.22E-07
,APBA2,-1.961499108,2.64E-30
,MAP2K3,0.564558513,3.78E-08
,EFCAB1,0,NA
,TMSB10,-0.550395986,4.04E-07
,ASTE1,-0.229479449,0.240584859
,RNF19A,0.026838441,0.915977154
,PEX3,0.217561099,0.406492469
,GABARAPL2,-0.550354606,8.14E-11
,MYOC,NA,NA
,SH3YL1,-0.064282053,0.790918385
,FAM136A,-0.136983429,0.34894524
,VCL,0.271336292,0.018151639
,DEPDC1B,-0.826526368,2.57E-09
,DAPK2,0.994970663,0.005878917
,NSMAF,0.45828625,9.55E-07
,ADSS2,0.108411276,0.489595382
,STAP1,-0.271522207,0.734985225
,TIMP2,0.619985444,6.84E-11
,RFC1,-0.452693422,1.06E-05
,TBC1D23,-0.002960239,0.986165734
,CUL3,0.186602451,0.32401842
,MYOM2,1.504645325,0.000440263
,OTC,NA,NA
,CYP46A1,0.287931748,0.700097041
,AC118549.1,0.093759458,0.644119143
,SLC18A1,0.553231885,0.291265316
,USP2,0.132228434,0.880300907
,CASR,0.120596675,0.88776531
,TUBG2,0.443127354,0.00053924
,RPL26L1,-0.347043164,0.068864786
,FLT4,-0.758935435,0.152620097
,NSUN2,0.025103311,0.871521835
,FBXO42,0.103795884,0.540354559
,MFAP3,0.167669047,0.464913989
,MRI1,-0.165908067,0.336478873
,METTL1,-0.878787819,9.84E-07
,HOXC8,NA,NA
,AGA,-0.321153571,0.024643821
,PI4K2B,-0.190349476,0.200032946
,BOD1L1,0.190568458,0.083023475
,MAT2B,-0.210406917,0.063398407
,TLL1,-0.031718829,NA
,EDC4,-0.142535332,0.260693762
,TRIO,-0.95607657,1.36E-16
,VCAN,1.636746328,4.26E-33
,CLEC16A,0.15037937,0.404907496
,MSR1,0.438232629,0.296123904
,CDH1,-0.079584673,NA
,MTREX,-0.27563837,0.023292975
,DNAH5,0.093441468,NA
,ZFYVE16,0.227687431,0.222813748
,RIPOR1,1.244482568,1.38E-17
,C6,0,NA
,RAI14,-2.754110812,4.94E-36
,SOX30,0.217345118,0.72197248
,PNKP,0.026219827,0.9072444
,BEST2,-0.050493754,0.960051947
,PHLPP2,0.474962056,0.182451125
,SPDL1,-0.17257279,0.30518956
,STAU2,-0.548082909,8.02E-06
,SLC66A1,-1.175929457,4.37E-23
,CTNS,-0.040804206,0.886269858
,RTN4R,-0.760700301,0.148338499
,PHF23,-0.201170419,0.097632783
,CDH10,NA,NA
,INPP4A,0.297890808,0.003817631
,RAB27B,-1.993681789,1.78E-21
,PSMA4,-0.306488123,8.94E-05
,MYO16,-0.061455532,NA
,LSG1,-0.156159835,0.138595978
,PARP3,0.49651401,4.13E-05
,TNC,0.649308131,0.258863374
,THAP3,-0.188561736,0.398701195
,RIPOR3,-0.246719304,0.763495643
,TDP1,-0.206395909,0.221394428
,AIFM2,0.250017998,0.253403066
,C2orf83,-0.096524737,NA
,AL049834.1,-0.164817025,0.510521371
,MED17,-0.344908934,0.000246201
,RETSAT,0.214261774,0.077272987
,CAPG,-0.807416574,2.46E-13
,AP2S1,-0.554163299,8.52E-07
,USH2A,0.207571592,0.80935561
,ZPBP,0.230749676,0.665182468
,TG,0.755373542,0.026251798
,ADAM28,-0.789692678,2.15E-08
,BARX2,0,NA
,DCUN1D1,-0.044721947,0.865389276
,JADE2,0.390483653,0.000985041
,ZIC2,0.093346899,NA
,LCP2,0.285875457,0.000324508
,TRIT1,0.071183361,0.711627678
,ADRB1,-0.857046971,0.131884443
,GUCA2B,-0.031718829,NA
,CUL7,-0.259486888,0.052269126
,CTNNA1,-0.289495451,0.016531386
,PHKA2,-0.400136067,1.72E-05
,CNTLN,-0.149762268,0.338994172
