DESeq2_MV4;11_MEN1-WT+1uM SNDX5613 vs. MEN1-WT+DMSO,Gene,log2FC,padj
,AL953862.2,0.01191074,NA
,MTND5P10,-0.03274402,NA
,AC140658.7,NA,NA
,AL929325.1,NA,NA
,AC023141.13,NA,NA
,AL049779.3,NA,NA
,SNX29P2,0.545650829,0.167480858
,AC098483.3,NA,NA
,AC123786.2,NA,NA
,BNIP3P20,NA,NA
,RPL17P3,0,NA
,ATP1B3P1,0.360880115,0.409034384
,AC017033.1,NA,NA
,NDUFA8P1,0,NA
,AC069236.1,-0.041428221,0.941893336
,AL163642.2,NA,NA
,AC010501.2,NA,NA
,AC012640.5,NA,NA
,AC022001.2,-0.009920073,NA
,AC022146.2,NA,NA
,AC011396.3,NA,NA
,AC103858.1,0.14381604,0.698114433
,AL357054.2,0,NA
,AL390208.1,0.258017864,0.321152388
,AL137798.1,0.109852669,NA
,Z98200.2,0.063010764,0.859119898
,LINC02772,NA,NA
,AC008608.2,0.115550956,0.82267871
,RNU1-29P,NA,NA
,AL121992.2,0.004558935,NA
,AF287957.1,0.549182394,0.010476196
,AL031848.2,NA,NA
,AC005828.6,0,NA
,AP003392.4,0.012329556,0.979297486
,AC112187.3,-0.56334617,0.013361345
,AL355802.3,-0.230846473,0.567110108
,AL031118.1,-0.28552858,0.523726692
,AL021368.1,0.084924145,NA
,AC091544.5,NA,NA
,RN7SKP299,NA,NA
,AC010424.2,0,NA
,AC139792.1,NA,NA
,AL109930.1,NA,NA
,AL445209.1,-0.041844834,NA
,AC080013.3,0.004638261,NA
,AC009994.1,0,NA
,AL118558.3,0.508137363,0.115566119
,AC026740.1,0.263052666,0.539740471
,AL031055.1,-0.393190917,0.303833637
,AC104794.5,NA,NA
,AC008875.1,0.088976857,0.836006512
,AL080317.1,0.232212766,0.452310328
,AC008667.4,NA,NA
,AC011337.1,0.737914636,0.037152442
,AC008494.3,-0.003179557,0.99507723
,SNORA51,0.023909005,NA
,AL121906.1,0.152626625,0.713524392
,AL590822.2,0.415356336,0.281876573
,Z97200.1,0,NA
,RN7SKP290,NA,NA
,AC008897.3,-0.314536804,0.372800751
,AC107219.1,0.005101225,NA
,RN7SKP4,0,NA
,RNU6-94P,0.004065794,NA
,AL109910.2,-0.09192108,0.853020956
,AL662844.3,0.049591262,NA
,SMIM32,0,NA
,AC019080.3,0.062017637,NA
,PLS3-AS1,0,NA
,AC008937.3,0.387597258,0.370225194
,AC012213.4,0,NA
,AL445222.2,-0.406352263,0.325341164
,RNU7-10P,0,NA
,AC012557.1,0.299377255,0.511709553
,AC073389.2,0,NA
,AC012603.1,-0.082074359,0.86254627
,LINC02343,NA,NA
,AC087501.4,0.06067592,0.894369675
,SNORD11B,-0.015238952,NA
,AC073195.2,0.072995693,0.877298396
,LINC01215,-0.125739942,0.712082578
,AL096865.1,-1.334374941,3.77E-06
,Z84492.1,-0.078771478,NA
,AL589740.1,-0.065803812,NA
,AC104118.1,0.531240088,0.174825611
,AC114810.1,0.31283754,0.407975687
,AC026979.2,0.09229498,0.848767876
,AC024060.2,0.089900604,0.825436333
,AC005740.4,0.009769645,NA
,AC025754.2,NA,NA
,AP001330.4,-0.228353863,0.578372814
,MIR98,-0.001630683,NA
,AL136162.1,-0.29549191,0.43547347
,AC016747.2,0.081525969,0.857224035
,OR10AE1P,NA,NA
,AC026790.2,NA,NA
,AC064834.1,0,NA
,AL109811.2,1.285057483,5.57E-06
,AL357518.1,NA,NA
,MIR4791,0,NA
,MIR4466,0,NA
,AC025627.4,NA,NA
,AL161716.1,NA,NA
,AC091826.3,0.01191074,NA
,SNORA35B,NA,NA
,AL357054.3,0,NA
,AL035530.2,0.479960833,0.076237731
,AL139286.2,NA,NA
,AC012467.1,0.033741552,NA
,AL357568.2,NA,NA
,AC034236.2,0.196515211,0.670990661
,AC005828.7,0,NA
,AC134026.1,NA,NA
,RNU6-86P,NA,NA
,RNA5SP108,0,NA
,AC008972.1,-0.046201782,NA
,AC016877.3,-0.103349108,0.753958957
,AL353135.1,0.005995977,0.985536834
,RNU6-85P,NA,NA
,AL603756.1,-0.592331937,0.103618556
,OR2AS2P,NA,NA
,AC012073.1,0.076215238,0.852603546
,AC104187.1,0,NA
,AC103724.4,NA,NA
,AC098614.3,-0.060762579,0.831289916
,AL355612.1,NA,NA
,AC017076.1,NA,NA
,LINC01954,-0.629509328,0.003259913
,AC007100.1,0.088934989,0.79340185
,AC021860.1,NA,NA
,AC100803.4,-0.0310628,NA
,AC026786.2,-0.021209508,NA
,AC090948.1,0.034239537,0.950461866
,AC021321.1,0.585747647,0.138990886
,AL583856.2,0.082500487,0.863357524
,ADAM6,NA,NA
,U47924.1,0,NA
,AC120053.1,0.516608472,0.193078662
,AC141002.1,0.419034732,0.222848458
,RDM1P4,NA,NA
,AC012467.2,0.550193943,0.023492302
,AC226119.2,0,NA
,AL359643.2,-0.610733973,0.110082573
,AC012640.6,-0.037032401,NA
,AL158211.2,NA,NA
,SNORD58B,NA,NA
,AC023302.1,0,NA
,AL008726.1,-0.012196498,NA
,BX248123.1,NA,NA
,RN7SL827P,0.01191074,NA
,AL139424.1,0.074697871,NA
,AC013400.1,0.001064896,NA
,AL354872.2,-0.142247374,0.752544453
,AC126118.1,0.285175374,0.460607248
,AC019080.4,0.085048463,NA
,AC034229.3,NA,NA
,AC010904.2,-0.049718001,NA
,FO704657.1,0.005194467,NA
,AC037487.3,-0.071152362,0.842304363
,AL139274.2,0.075113694,0.884981894
,AL121944.2,-0.365816155,0.225121917
,AC100814.2,0.676548212,0.076380794
,AP001043.2,NA,NA
,RNU1-30P,NA,NA
,AC008592.5,NA,NA
,AC010240.4,0.055916451,NA
,AC064807.4,0.120836781,0.754585255
,AC007318.2,NA,NA
,AC073218.1,NA,NA
,RNU6-87P,-0.009920073,NA
,AL162258.2,-0.040581784,0.942750082
,ANKRD34A,-0.11893478,0.816106242
,AL136984.1,0.184035759,NA
,SNORD14A,0.324813508,0.456491756
,MIR139,NA,NA
,AP002907.1,-0.011096077,0.983280114
,AC010245.2,0.251817031,0.593786618
,AC016405.2,-0.059582634,0.874478475
,AL445647.1,NA,NA
,GTF2H5,-0.061679422,0.66234892
,AC091965.4,NA,NA
,AL499627.2,0,NA
,AL109742.1,NA,NA
,AC007390.2,0.210587314,0.664594552
,RNU6-6P,0.083609571,NA
,AC013472.2,0.212241989,NA
,AC016575.1,NA,NA
,AL365181.2,-0.161089056,0.751364455
,AC005618.1,0.045024116,0.940046526
,AC122710.2,0.103766399,NA
,AC004492.1,0.894709903,0.013977202
,RN7SL828P,0.01191074,NA
,AC090186.1,0,NA
,AC124045.1,0.138186352,0.758624572
,AL139423.1,-0.272834935,0.551982478
,AC004233.2,1.226180145,0.00044827
,MIR502,NA,NA
,AC008972.2,-0.069223515,0.848728368
,AL137127.1,0.167834011,0.687079735
,AC091979.2,NA,NA
,AC025181.2,0.178675682,0.611527406
,AC080013.4,0.163071509,0.737649856
,AL512413.1,0,NA
,AC087623.2,-0.449216473,0.121322891
,AC091614.1,0.01191074,NA
,RN7SL715P,NA,NA
,AL024498.1,-0.139136641,0.789408197
,AL513218.1,0.164310759,NA
,AC026741.1,0.227428311,0.573592843
,AL691432.2,0.68872889,0.004021891
,AC244517.1,0,NA
,AC008906.2,0.01530734,NA
,AC011374.2,NA,NA
,AL157884.4,NA,NA
,AL136131.3,NA,NA
,AC233992.3,0.162118954,0.716420936
,AC006058.3,NA,NA
,AC008966.2,0,NA
,AP006545.2,0.155404571,0.689967572
,AL359715.3,0.087388463,0.860435879
,AC091946.2,0.015226659,NA
,AC103810.6,-0.009920073,NA
,AL451064.1,NA,NA
,LINC01607,-0.033768592,NA
,AC113349.2,NA,NA
,AC022400.6,0.397854811,0.295164416
,AL390719.2,0,NA
,AL359643.3,-0.071962258,0.812267159
,FGF14-AS2,-0.806524729,0.010164091
,AC025171.4,1.389925942,4.19E-05
,NFYC-AS1,0.552083141,0.125621355
,ARF4-AS1,-0.267018739,0.408472788
,AC013403.2,0.586528205,0.079171079
,AC112211.1,NA,NA
,NBPF25P,0.427879966,0.300783218
,AL365330.1,0.967405525,0.005085772
,AC244517.2,NA,NA
,AC055822.1,0.17858359,0.720773038
,AC008280.3,0.727155064,0.043422263
,AC107373.2,NA,NA
,AL139022.2,-0.021617365,NA
,AC087623.3,0,NA
,RNU4-5P,0,NA
,AL589739.1,0.018360708,NA
,AF106564.1,0,NA
,AC005972.2,-0.009920073,NA
,AC093416.1,NA,NA
,AL606537.1,NA,NA
,CASC15,0.255660776,0.585454135
,AL355385.1,0.013175282,NA
,AC138696.2,0.439714724,0.230148353
,U47924.2,0.011072434,NA
,AL050343.3,0,NA
,AC011306.1,NA,NA
,AC012557.2,0.150832933,NA
,AC135507.1,0.024299542,0.964378656
,AC005041.3,-0.030497598,0.96073376
,AP003392.5,-0.304036884,0.398513498
,AL024508.1,0.053073529,NA
,AC100812.1,-0.06510319,0.856512064
,AL356512.1,0.299081457,0.493970106
,H2AC19,0.044433262,NA
,RN7SL803P,0,NA
,AC097358.2,NA,NA
,AC004775.1,NA,NA
,AL451050.2,0.679050608,0.060581522
,AL023583.1,0,NA
,AC114760.2,-0.272068263,0.326876443
,AC002395.1,NA,NA
,AL645940.1,-0.028519518,0.960769968
,AC108865.2,0,NA
,AC005072.1,0.012336205,NA
,AC103810.7,NA,NA
,AL645933.3,0.321184102,0.396690303
,AL136304.1,0.142609079,0.69878758
,AL136985.2,-0.010145977,NA
,MIR3666,NA,NA
,RN7SL726P,NA,NA
,AC008945.1,NA,NA
,AL590438.1,NA,NA
,AL645939.5,-0.013426842,NA
,AC073065.2,NA,NA
,AC011373.1,NA,NA
,AC004908.1,0.137547569,0.791620367
,AL356277.3,0,NA
,AC080013.5,0.225043438,0.446974111
,AL138831.2,0.081961615,0.82267871
,AP003117.2,NA,NA
,RNA5SP386,NA,NA
,AC022893.3,0,NA
,AC113361.1,-0.122905436,0.815207945
,AC044849.1,0.248713968,0.385643817
,LINC01749,NA,NA
,RNU6-89P,NA,NA
,AC034198.2,0.01711553,0.973393836
,AC009686.2,0,NA
,AC034236.3,0.040849368,NA
,AC021242.3,0.253486554,0.526408448
,AL138724.2,-0.342805232,0.352473704
,IER3-AS1,0,NA
,LINC00551,0.020702822,0.965182366
,AC092687.3,-0.184394713,0.63115686
,AL031963.3,0.352726151,0.417328431
,AL512329.2,0.298969783,0.512167012
,TPTE2P2,0.041654159,NA
,LINC02084,0,NA
,AL451165.2,0.319152454,0.272347849
,AC083964.1,0,NA
,SNORD96A,NA,NA
,AC096721.1,NA,NA
,AC104113.1,-0.134060713,0.786060249
,IFNL4P1,NA,NA
,AL133255.1,NA,NA
,AL021368.2,0.935236856,0.002601238
,AL022345.1,0.030268977,NA
,AL445309.1,0,NA
,AP003355.2,0.01191074,NA
,AC026801.2,0.08850342,0.859286087
,AC012629.2,-0.010060502,NA
,NUDT3,-0.0934188,0.179378798
,AC007128.2,NA,NA
,AL353581.1,NA,NA
,AC002044.1,0,NA
,KMT2B,0.452545197,1.09E-06
,AC011816.2,-0.167010464,0.683824345
,AC093297.2,0.596576062,0.015436958
,RNU6-90P,0,NA
,AC067838.1,0.183937837,0.687314943
,AL137003.1,0.957682493,0.006776031
,AC116609.3,-0.804016922,0.030253346
,AC107952.2,1.020099054,0.002615449
,SNORD114-21,NA,NA
,AL031775.1,-0.265872025,0.559227335
,AC103810.8,0.018083346,NA
,AC116351.2,-0.808016137,0.029028218
,RNA5SP506,NA,NA
,AC092354.1,0.094159624,0.825814464
,AL080317.2,0.270294983,0.531893613
,RNU4-89P,-0.030732057,0.953394996
,AC116036.2,0.01191074,NA
,AC005014.2,-0.177864212,0.567935348
,AL160408.5,-0.020835479,NA
,AL158211.3,0.103928083,NA
,AC074032.1,0.250759508,0.595282212
,AC008035.1,-0.477810814,0.244486308
,AC092354.2,0.349815767,0.422298106
,AL591167.1,0.000995333,NA
,AC009102.2,0,NA
,Z97832.2,0.951860927,0.008492323
,AC026979.3,0.653133656,0.073547307
,AL008729.2,NA,NA
,MIR3976,NA,NA
,LINC02664,-0.098295771,NA
,AC025171.5,0.186072396,NA
,AC006270.3,NA,NA
,AC016405.3,0.0201924,0.971345969
,AC015802.5,0.01191074,NA
,AL022345.2,NA,NA
,POM121C,-0.065184533,0.517241399
,RNU6-92P,0,NA
,IFNL4,0,NA
,AC005392.3,NA,NA
,AL138916.2,NA,NA
,CD24,0.001052177,NA
,AC103810.9,NA,NA
,AL031775.2,0.37273135,0.316721878
,AL365181.3,-0.800328995,0.000307917
,AC108102.1,0,NA
,AL022394.1,NA,NA
,AC116312.1,0,NA
,RN7SL778P,0,NA
,AC025175.1,0.028458855,NA
,AC034229.4,0.155767987,0.605031431
,AC090607.4,NA,NA
,LINC01145,0.364727606,0.281462906
,AL513477.2,0.128221908,0.701114422
,AC009902.3,0.163934653,0.746939115
,BX284668.6,-0.122857816,NA
,AL450270.1,NA,NA
,LINC02637,0.228560594,NA
,AC104117.5,0,NA
,AL031432.3,-0.16854306,0.723856418
,AC137630.3,-0.062611688,0.883392879
,RNA5SP357,NA,NA
,CUX2P1,NA,NA
,AL645608.6,0.1085814,0.825143265
,RNU6-91P,0,NA
,AC080013.6,-0.031378072,0.957210628
,OR13Z2P,NA,NA
,AL118558.4,0.409217944,0.273735363
,RNU6-84P,NA,NA
,AL135925.1,0.286363517,0.307295561
,AL139246.5,-0.676604077,0.004292314
,AL391244.2,-0.010940386,0.979549707
,AC087045.2,0.207322326,0.617045996
,AC113194.1,NA,NA
,MIR432,NA,NA
,AC139795.3,0.003543508,NA
,SNORD115-40,NA,NA
,AP005328.1,0,NA
,U91328.1,0.875332889,0.002335421
,AL357054.4,-0.163246614,0.742460438
,AL031768.1,0.30157994,0.484961824
,AL021807.1,0.366839144,0.326127879
,RN7SL760P,0.01191074,NA
,AL512283.1,0.012175637,NA
,AC006273.1,0,NA
,SNORD113-5,NA,NA
,AL024507.3,-1.242978725,8.67E-06
,AC144521.1,-0.062141217,NA
,AL020996.3,NA,NA
,AC010857.1,NA,NA
,OR13Z3P,NA,NA
,AC254633.1,NA,NA
,AC022001.3,0.01191074,NA
,AL392183.1,0,NA
,AL132656.3,0,NA
,AL109659.2,NA,NA
,OR1X1P,NA,NA
,AC090948.2,0.142083535,0.771366659
,AL662844.4,0.952413809,6.79E-06
,AC104958.2,0.039862023,0.946345376
,AC104964.4,0.883926117,0.007032154
,AL357078.2,-0.009920073,NA
,RNU6-88P,-0.35082231,NA
,AC087752.4,1.292821656,0.000187091
,AL121992.3,0,NA
,AL645608.7,-0.020835479,NA
,CFAP206,0.368808396,NA
,AL355578.1,0,NA
,AL158211.4,0,NA
,AC036214.2,-0.29088805,0.5066345
,AC079610.2,NA,NA
,LINC01023,-0.081875691,0.84099049
,AC099522.2,0.132199259,0.802470072
,AC090948.3,0.193855866,0.6546903
,SNORA28,0.010049845,NA
,RN7SL840P,NA,NA
,AC005014.3,NA,NA
,AL662797.2,-0.263461001,0.542926549
,AL021368.3,0.146837481,0.652656991
,AL137246.1,0.043895446,NA
,MIR4787,NA,NA
,AC023813.4,NA,NA
,LINC02538,NA,NA
,AC017048.3,NA,NA
,AC012087.2,NA,NA
,AC009974.1,NA,NA
,GTF2IP13,0.812567277,0.002091732
,U91328.2,NA,NA
,OR51F3P,NA,NA
,AL512343.2,0.450193438,0.243880979
,AC016745.2,-0.021135388,NA
,AC012511.1,-0.064853492,NA
,AF250324.1,0,NA
,AC109347.2,-0.141883074,0.672815548
,AC005162.2,0.084954284,0.792373709
,OR5BL1P,NA,NA
,AL138762.2,0.20233441,0.678706094
,MUSTN1,0.932048818,0.00188124
,AL596325.2,-0.037357623,NA
,LINC02098,NA,NA
,AC027271.1,-0.117252305,0.748132652
,AP000347.1,1.32021268,7.18E-21
,AL031587.3,0.036363349,NA
,AL592494.2,NA,NA
,AC139887.4,0.277195366,0.383450593
,ZSWIM8-AS1,0.274310646,0.498269809
,AL451049.1,NA,NA
,OR10AH1P,-0.009920073,NA
,AC063944.3,NA,NA
,AC016394.3,0.263226486,0.573086754
,AC007308.1,NA,NA
,AC010655.3,-0.272544034,0.46680524
,ZNF595,0,NA
,AC073073.2,0.178192309,0.630842095
,AC015982.2,0.01191074,NA
,AC016252.1,0,NA
,MAGI1-IT1,0.01191074,NA
,AC093673.2,-0.032884114,NA
,AFAP1-AS1,0.160696589,0.694685137
,AC010735.2,0,NA
,AP000919.4,0.359211036,0.413388645
,AC021146.12,NA,NA
,AC016542.1,-0.051523539,0.866447275
,AL731563.4,0.234569765,0.625176298
,AC067750.1,0.61516417,0.068998413
,AC097504.2,0,NA
,OR51F5P,NA,NA
,DOC2B,-0.047188341,NA
,AC006027.1,NA,NA
,AP003121.1,NA,NA
,AC097468.3,NA,NA
,GTF2IP20,1.273550019,3.11E-08
,AC079766.1,0.090665132,0.80085422
,AC110792.3,0.397220811,0.125640218
,AL358472.2,0.414227291,0.100152657
,POLR2J4,0.019836212,0.945655362
,AC024933.1,-0.297267613,0.449261172
,AC090425.2,0.213751506,0.546140296
,AC021097.1,NA,NA
,AC073352.1,0.014306809,0.972958969
,AC093635.1,-0.231661042,0.615092473
,OR51C4P,NA,NA
,U62317.1,0.055976639,NA
,AC012306.2,-0.047484343,0.883322736
,AL590560.3,0.093240658,0.836181302
,AL021707.6,0.559453479,0.16134528
,AL391497.1,0.198830087,0.472744065
,PCDHB16,0,NA
,OR5AO1P,NA,NA
,AC124016.2,-0.454307316,0.24443115
,AC112503.1,NA,NA
,FAM223B,NA,NA
,AC004471.2,0.002707848,NA
,OR9I3P,0,NA
,AC006333.1,0.287110606,0.277394931
,AP005329.3,NA,NA
,AC004832.4,0,NA
,LINC02018,1.097185535,0.000143516
,AC092807.3,0,NA
,AC010997.4,0.079685098,0.860860642
,AC073107.1,0.566593853,0.094634478
,Z94160.2,NA,NA
,GAS6-DT,-0.849847497,0.000616493
,AL359091.3,-0.071577811,0.888859759
,AC007620.3,0.028264553,NA
,MESTIT1,0.081587633,NA
,AC010913.1,0,NA
,AP005137.2,0,NA
,AC046143.2,0.008489708,0.983811773
,AC133041.1,0.049873035,NA
,AC019069.1,-0.190007556,0.443338921
,AL139098.3,NA,NA
,AL157904.1,-0.28156506,0.331161892
,AL121658.1,0.022736836,0.969149396
,AC112236.2,-0.857530828,0.020169771
,AC006483.2,0.054790086,NA
,AL022322.1,-0.0673886,0.836794707
,AC131235.3,0.193643815,0.690289714
,LINC02266,0,NA
,AC009336.1,NA,NA
,AC004982.1,0.675474413,0.034088346
,AP000345.2,0.01980039,0.970432301
,ADIRF-AS1,0.017876906,0.954306143
,AC007881.3,0.20470452,NA
,AC005323.2,0.01191074,NA
,AC135457.1,NA,NA
,AC107214.2,-0.239781998,0.510936209
,AC004948.1,0.221295857,0.469127921
,AP005131.7,-0.417532814,0.308148821
,AC063962.1,0,NA
,AL592148.3,0.194608108,0.691898601
,AL133245.1,-0.045295224,NA
,AC245297.2,0,NA
,AC083798.2,0.293111959,0.462625827
,AC093726.1,NA,NA
,AC103702.2,0,NA
,AL596094.1,0.639599638,0.098125154
,JMJD1C-AS1,-3.269396048,7.18E-35
,AC004854.2,0.262348533,0.451963011
,AC097532.2,NA,NA
,AC005696.2,NA,NA
,AC112219.2,NA,NA
,AC019131.2,0.085507539,0.863638002
,AC245060.4,NA,NA
,AC147067.2,NA,NA
,AC019193.2,0.01191074,NA
,AC253536.6,0.595564298,0.131340031
,AP000864.2,0,NA
,AC010976.2,0,NA
,AC073389.3,0.107949663,0.830317098
,AC126283.1,-0.056476938,NA
,AC092954.1,NA,NA
,AL008721.1,0.098070334,NA
,AC006238.1,0.17059853,NA
,AC021851.1,-0.382944733,0.360892338
,KRTAP10-7,NA,NA
,AC007038.1,0.77212961,0.040113334
,U91328.3,0,NA
,AC004908.2,0.176238318,0.722077769
,AC093732.2,0,NA
,AL359198.1,-0.18559161,0.596115983
,U62317.2,NA,NA
,AL445423.1,0.402804921,0.244153994
,AC245100.7,0.013322836,0.973393836
,AL844908.1,-0.879684812,0.008632174
,AC002470.1,0.253961063,0.589107038
,AC027644.3,0.040884635,NA
,AC022296.4,NA,NA
,AL022238.3,0.434176985,0.166980415
,AL022328.1,1.549788492,3.61E-06
,OR10AE3P,NA,NA
,AC011899.3,0.884836823,0.013278807
,AC092902.2,0,NA
,AL139393.3,0.116725446,0.770315779
,AL391834.1,0.323872408,0.461081119
,AC211476.4,0.082290643,0.801366716
,AC074044.1,-0.036493988,NA
,AL135910.1,-0.054453735,0.910392526
,AC084018.1,1.151117254,1.87E-05
,AC096772.2,NA,NA
,AC069544.1,0.045458803,0.939157312
,AC004839.2,-0.167655352,NA
,AC104458.1,NA,NA
,AC112250.2,NA,NA
,Z93930.3,0.303036742,0.342270073
,AC012360.2,-0.129876247,0.796853792
,AC106052.1,0.026331674,NA
,AC135803.1,0.224378942,NA
,AL591686.2,NA,NA
,AL135786.2,0.041977308,NA
,SAP30-DT,-0.368228339,0.373214465
,AL159169.2,0.45179687,0.272617489
,AP000525.1,NA,NA
,AL034548.1,NA,NA
,AL161734.1,NA,NA
,OR2BH1P,NA,NA
,AC092574.1,0.010168584,0.980183011
,DCP1A,-0.235142238,0.023155824
,CSPG4P5,NA,NA
,LINC01578,-0.218353519,0.011959936
,AL133551.1,0.149559101,0.727718259
,AC004982.2,0.526388058,0.192195888
,AC009303.3,NA,NA
,ATP6V1FNB,0.809856203,0.004482324
,OR10Q2P,0,NA
,TBC1D8-AS1,0.382765801,0.377241083
,AC018648.1,0.009541797,0.981382575
,AL353708.3,0.246631189,0.560733463
,AC006033.2,-0.304702792,0.087598892
,AL122035.2,-0.068342455,0.8400467
,AC090425.3,0.44084212,0.20497474
,AC005696.3,0.272130455,0.27433867
,AL356608.1,0,NA
,AC009237.14,NA,NA
,AL359532.1,0.237794157,0.498617315
,AC018635.2,0,NA
,AC005070.3,0.22594069,0.633662687
,hsa-mir-1253,NA,NA
,AC107294.1,-0.042211937,NA
,AC092139.1,0.182994943,0.702029943
,AC107464.3,NA,NA
,AC099568.2,-2.137223292,1.15E-21
,AL391121.1,NA,NA
,AC096586.1,NA,NA
,OR6U2P,NA,NA
,U62317.3,0.197594669,0.604651761
,AC083862.2,-0.13491417,0.740349768
,AL022324.3,0.213899503,NA
,AC079834.2,NA,NA
,AL356299.3,-0.122787199,0.738923858
,AP001412.1,-0.035217723,0.95150418
,AC093799.1,0.231806996,NA
,AC092171.4,0.01191074,NA
,AP000553.2,-0.348328364,0.422555242
,AP000322.1,NA,NA
,OR7A19P,0,NA
,AC064836.2,0,NA
,AC073352.2,NA,NA
,AC024243.1,0.162968535,0.584090115
,AC107294.2,1.252618356,3.29E-05
,AL365181.4,NA,NA
,AP000350.5,0.002178341,NA
,AL008721.2,0.766236619,0.01450652
,AC093388.1,-0.501960849,0.218323384
,AL355816.1,NA,NA
,AL117339.4,0.075970042,0.854927731
,AC007349.4,NA,NA
,AC009570.1,-0.015648582,NA
,OR5AL1,0,NA
,AC022392.1,NA,NA
,LINC02012,0.282317001,0.507470985
,AC084036.1,0,NA
,AF129408.1,NA,NA
,AC012360.3,0.437590024,0.050447281
,AC097505.1,0.067755006,NA
,AL731533.2,0.180141192,0.717392936
,AL355388.1,0.766753829,0.023040359
,AL078644.2,-0.032735124,0.954595959
,AC009229.3,0.01191074,NA
,AC021205.3,1.597356379,2.36E-06
,AC010864.1,0.161054629,0.742460438
,AL360270.3,-0.100278758,0.850210726
,AC092681.3,NA,NA
,AL353600.1,0.01191074,NA
,AC117490.2,-0.024060975,NA
,AC018645.3,0.007448238,0.985047995
,AC008124.1,-0.376735724,7.17E-05
,AP000240.1,-0.10970483,0.813966251
,FAM106A,-0.22342045,0.446041779
,INTS4P2,0.556541272,0.152564142
,AL358472.3,0.522754974,0.185450244
,AL844908.2,-0.159060515,0.678951532
,DGCR9,NA,NA
,LINC02035,1.969949805,3.61E-14
,AC007684.2,0.041467785,NA
,AL390726.4,1.768665878,1.17E-19
,AL365203.2,-0.838640044,0.023018619
,ATF4P2,NA,NA
,AL022334.2,0,NA
,C2orf15,0.084806388,0.863622903
,OR51F4P,NA,NA
,AC005046.2,0.03269728,NA
,AL354694.1,0.082196648,NA
,AL359921.2,0.229301544,0.624525876
,AC239803.1,NA,NA
,CDC37L1-DT,0.067538026,0.891804207
,AL449106.1,0.01191074,NA
,AC007250.1,0.070572591,NA
,AC017083.1,0.091477647,0.852207314
,Z99755.2,0,NA
,AC211433.2,0.083554696,NA
,AC073869.3,0.242266315,0.351153996
,AL021707.7,0.273026185,0.463903255
,AC110609.1,NA,NA
,GRIN2B,0,NA
,AC009309.2,0.148930891,0.772571668
,Z73429.1,NA,NA
,AC092171.5,0.113436843,NA
,OR52E1,NA,NA
,AC007378.1,0,NA
,AP000255.1,-0.131995919,0.723381226
,AC097065.2,NA,NA
,AL021707.8,0.548584309,0.168676995
,AC005303.1,NA,NA
,AL596442.2,0,NA
,AP000569.1,-0.179279569,0.605376771
,AP000322.2,NA,NA
,AC019129.2,0,NA
,AL512598.1,NA,NA
,AL121929.3,0.055459838,NA
,AL162591.2,NA,NA
,LYPD4,0.01191074,NA
,AC133528.1,-0.015063209,NA
,AP001596.2,NA,NA
,AC144652.1,-0.623094138,0.002663394
,AC093865.1,NA,NA
,AP005229.2,NA,NA
,AC020634.2,NA,NA
,AL365434.2,NA,NA
,LINC01990,NA,NA
,PACERR,0.077553085,0.801055032
,AL355312.4,0,NA
,AC116651.1,0.004195912,NA
,NBPF26,1.013315473,0.001012269
,AL022328.2,1.095024424,0.00066445
,AC005021.1,NA,NA
,AC007663.3,0.326124232,0.334102444
,AP001269.4,-0.021670358,0.970316851
,LINC02604,0.885948287,0.000174566
,AL355512.1,-0.699149475,0.047316053
,BX537318.1,0.652267791,0.087290798
,LINC00653,0.834357433,0.012735728
,AL138963.4,NA,NA
,AC073957.3,2.108831358,4.11E-20
,AC067747.1,NA,NA
,AC124016.3,0.669817125,0.083037162
,AL359962.2,0,NA
,AL133215.2,-0.165925758,0.69406603
,DGCR10,-0.053491321,NA
,AL121652.1,0.332805774,NA
,LINC02091,NA,NA
,SNURF,0.365427555,0.404053745
,AC108673.2,-0.102667659,0.842911223
,BX323046.1,-0.3002768,0.319852273
,AL008635.1,0.194621769,NA
,AC092954.2,NA,NA
,AC092535.5,-0.112041532,0.825158712
,AC019193.3,NA,NA
,AC131235.4,0.356582002,0.266935129
,AC093726.2,0.348117992,0.382972623
,AL359091.4,-0.095487066,0.854167847
,AL022328.3,1.392403217,3.76E-08
,AL671710.1,-0.028145318,NA
,AC062037.3,-0.076882067,NA
,AL096803.4,0,NA
,AP000692.2,-0.113568925,0.79810114
,AC006946.2,-0.009920073,NA
,AC104506.1,-0.044672415,0.89932961
,AC069148.1,-0.033710268,NA
,AP001437.1,0,NA
,AC137630.4,NA,NA
,AC000068.2,-0.03605234,NA
,H3-2,0.498571158,0.132008236
,AL031587.4,NA,NA
,AC002059.1,0.003175038,NA
,AC005776.2,0.582861393,0.118056018
,AC091736.1,NA,NA
,AL355816.2,NA,NA
,FAM25BP,NA,NA
,AL391834.2,0.805047515,0.011375324
,OR5BQ1P,0,NA
,AC102953.2,-0.150042968,0.64249679
,AC090912.3,-0.009920073,NA
,AC097724.1,0.005257554,NA
,OR2A13P,0,NA
,TMEM271,0,NA
,AC013468.1,0.382082956,0.304629202
,Z82243.1,-0.503834206,0.12465724
,AC092653.1,0.02154225,NA
,AC097376.3,1.236613415,1.36E-05
,AC010997.5,0,NA
,BX649632.1,0.090564207,0.852603546
,OR7E39P,NA,NA
,AL022328.4,1.463897665,2.09E-07
,AF129075.3,-0.111917862,0.743446283
,OR5BP1P,NA,NA
