DESeq2_MV4;11_MEN1-WT+1uM SNDX5613 vs. MEN1-WT+DMSO,Gene,log2FC,padj
,MVP,0.453134896,7.82E-11
,NUB1,0.056374261,0.446384116
,PGM3,0.364034318,9.48E-05
,RWDD2A,0.643883488,0.000124149
,CLK1,0.257539953,0.004689699
,POLR3B,-0.0720693,0.539740471
,ANGEL1,0.588363741,6.20E-13
,RNF14,-0.02683076,0.826168485
,DNASE1L1,0.322968637,0.101546631
,DDX11,0.508782806,1.12E-08
,HEBP1,0.120405326,0.265602416
,GPRC5A,-0.015070153,NA
,MAMLD1,0.105564215,NA
,CD6,-0.210164561,0.589477072
,TACC3,0.1566545,0.030028024
,UFL1,0.427394127,4.97E-08
,POLA2,-0.263454416,6.75E-05
,ZC3H3,0.677950139,8.17E-21
,CAPN1,-0.02698944,0.749958008
,ACPP,1.171129007,2.09E-32
,MDH1,-0.237526894,9.08E-06
,SLC30A9,-0.016518622,0.863357524
,MTMR11,0.661930147,1.08E-11
,COX15,0.195110821,0.009493204
,CCDC88C,0.543722899,5.02E-16
,YAF2,-0.495658911,5.76E-07
,ZMYND11,1.000813654,7.26E-49
,WAS,0.418488734,5.80E-11
,DPEP1,0.019477331,NA
,BID,-0.668230845,5.16E-25
,MATR3,0.087751529,0.69050219
,NPC1L1,0.003854213,NA
,XYLT2,0.243606349,0.006353982
,RGPD5,0.086459159,0.788261264
,STMN4,-0.021614193,NA
,NUDCD3,-0.191402387,0.000586079
,ISL1,NA,NA
,CHDH,0.282848285,0.470749864
,IL20RA,NA,NA
,CLCA1,NA,NA
,CLCA4,NA,NA
,GLT8D1,-0.13421239,0.055039669
,ATP2C1,0.302390146,4.65E-06
,IGF1,1.712199088,2.09E-07
,SLC38A5,-1.050203601,1.66E-44
,RALBP1,-0.465508496,6.93E-22
,RUFY3,0.87544406,0.000141128
,CNTN1,0,NA
,SLC11A1,1.508539648,1.31E-15
,WWTR1,0.128195841,0.808916277
,AGPS,-0.195168129,0.006219195
,ZNF806,NA,NA
,CXorf56,-0.138628242,0.203920414
,ATP1A2,-0.342796529,0.438039366
,TTC27,-0.270074478,0.003707246
,ZNF582,-0.198398951,0.365880642
,VSIG2,0.747689479,0.006371202
,PHLDB1,-1.824383145,9.42E-40
,MARCO,2.744298907,5.28E-35
,CYP24A1,-0.009920073,NA
,PRDM11,1.161514193,1.34E-10
,SYT13,NA,NA
,SNAI2,0,NA
,CD74,2.367215626,0
,HGF,0.04843799,NA
,ZRANB1,-0.159040091,0.230520128
,NCDN,0.354780175,8.61E-06
,ADGRA2,1.004271575,7.87E-56
,CCT8L1P,0,NA
,ZFP64,-0.426877127,2.07E-06
,MNAT1,-0.21580418,0.051183064
,SAMD4A,0.057963649,NA
,RUNX3,0.184124712,0.002428685
,MRE11,-0.76368228,5.24E-29
,PLEKHB1,-0.046797689,NA
,SERPINB1,0.771695595,5.64E-43
,CYP3A43,0.018433607,NA
,SLC7A9,0.063624008,NA
,SPAST,0.227509543,0.005693508
,NRXN3,-0.231568232,NA
,OSBPL5,-0.362236958,2.60E-06
,AQR,0.018195889,0.863163876
,CPS1,-0.585012975,0.023949429
,C8B,NA,NA
,FHL1,-3.715578367,1.05E-98
,RTF2,-0.286160558,8.53E-06
,GABRA1,0,NA
,NLRP2,0.26179916,0.383594574
,SLC45A4,0.996700024,7.62E-59
,RNF10,0.020634519,0.766332124
,ZNF839,0.358322536,0.021705117
,ZDHHC6,-0.002876768,0.976627386
,GRAMD1B,1.880396562,9.74E-108
,RNH1,0.193740229,0.007938851
,NDUFS1,-0.470516911,1.09E-17
,RB1CC1,-0.019082506,0.858922141
,ERP44,-0.208596404,7.98E-05
,ALAS1,0.067583551,0.395775794
,BIRC3,0.283813771,0.395495125
,AKAP11,0.098180464,0.381539907
,GLRX2,-0.399832219,7.48E-07
,SNAPC1,-0.822651243,3.86E-13
,DERA,-0.308136573,0.000112482
,STRAP,-0.444864588,2.62E-18
,ABCC2,-0.07437422,0.845796563
,DEF6,0.132279036,0.07489362
,PLEKHO1,0.182757279,0.167695362
,GCLM,-0.068474505,0.564775174
,UBR2,0.057325215,0.459758411
,EHD2,-0.175658161,0.7143234
,DEPDC1,-0.564587734,8.29E-12
,CCDC28A,-0.163326132,0.193991074
,RRAGD,0.148635541,0.517779862
,HSF2,-0.547700454,1.11E-06
,PHF20,0.129722033,0.056470134
,HSD17B6,-1.430888385,9.71E-06
,NR1H3,-0.771414122,1.15E-06
,TYMP,1.525121485,9.43E-64
,NCAPH2,-0.304256566,1.60E-05
,TOMM34,-0.461685755,3.85E-12
,SEC63,-0.512943124,2.76E-17
,KPNA6,-0.02935594,0.809325198
,VIM,0.205734191,0.007072691
,FAS,-0.375955923,0.06613595
,RNASET2,0.216106555,0.000165931
,CD44,-0.651690686,3.28E-14
,KCNG1,-1.053213138,4.74E-09
,AGPAT4,1.216506176,2.49E-12
,SLAMF7,0.195454154,NA
,BTN3A1,0.783410216,3.74E-10
,MIPEP,-0.24116907,0.018491872
,PRKCH,-0.022468485,0.968121081
,INSRR,0.104073069,NA
,IFNGR1,0.374524605,2.26E-07
,B4GALT7,0.484351272,5.25E-06
,SH2D2A,-0.180985794,NA
,VRK2,-0.253928476,0.010471693
,TNFRSF1B,0.480291467,9.41E-16
,VEZT,0.078788718,0.467618572
,POU2F2,0.083748347,0.448522216
,BRD9,0.082023588,0.264952286
,SNX1,0.102763172,0.034130803
,TBPL1,-0.277074481,0.05663001
,ARNTL2,-0.657352466,0.003840654
,BCLAF1,-0.122874687,0.073701639
,SLC39A9,-0.363885643,4.93E-09
,ANK1,-0.691720481,0.056638967
,IBSP,NA,NA
,TFB1M,-0.83121909,1.64E-13
,RABEP1,-0.371250564,1.11E-10
,HMGB3,-0.13652105,0.045934036
,NUP160,-0.194516353,0.000885464
,BAK1,-0.154003045,0.124785985
,MUSK,0.174561387,NA
,IKZF2,-0.299512569,0.343156014
,GRN,2.119929594,0
,FAM13B,0.402376869,6.46E-07
,ARHGAP31,3.103736245,3.59E-24
,CENPQ,-0.590561649,7.50E-08
,SARS1,-0.462598278,2.18E-11
,RANBP3,-0.009275966,0.923567115
,ARID4A,-0.278188695,0.000798616
,EIPR1,-0.584032586,1.49E-16
,PNPLA6,-0.057181092,0.468257706
,IFT88,-0.518813813,3.08E-05
,ALG1,-0.319842671,0.000519287
,ZCCHC8,0.120927739,0.25450918
,ABCF2,-0.106142775,0.135276687
,CHPF2,0.695908723,7.53E-22
,LRRC7,0.859666354,0.013401918
,FUT8,-0.144610259,0.164451135
,UBA6,-0.33300999,1.00E-06
,GAB2,0.171606923,0.063920345
,ATP6V0A1,0.102811401,0.375257469
,PIAS1,-0.11195395,0.150903879
,SLC4A7,-0.045805054,0.81787954
,APBA2,-0.736217607,6.18E-08
,MAP2K3,0.248993379,0.001168074
,EFCAB1,0.026176988,NA
,TMSB10,-0.12339155,0.059592253
,ASTE1,0.236560392,0.128837905
,RNF19A,-0.005503127,0.968362327
,PEX3,0.419875879,0.001839069
,GABARAPL2,-0.219196646,0.00388775
,MYOC,0,NA
,SH3YL1,-0.025204216,0.859664156
,FAM136A,-0.458493169,6.19E-09
,VCL,0.27804504,2.11E-08
,DEPDC1B,-0.020595672,0.863638002
,DAPK2,-0.624810009,0.109394219
,NSMAF,-0.436127151,4.43E-19
,ADSS2,-0.217734275,0.001319663
,STAP1,-0.230717592,0.532412055
,TIMP2,1.602343119,8.01E-50
,RFC1,-0.255540226,1.31E-05
,TBC1D23,0.225409889,0.001208947
,CUL3,-0.245677701,1.21E-05
,MYOM2,0.794113513,0.0118703
,OTC,NA,NA
,CYP46A1,0.202830758,0.583554342
,AC118549.1,-0.261068253,8.73E-05
,SLC18A1,0.784254285,0.03088096
,USP2,-0.640504464,6.37E-06
,CASR,0.001545765,NA
,TUBG2,0.614333469,0.000545592
,RPL26L1,-0.488532618,1.12E-05
,FLT4,-0.155120135,NA
,NSUN2,-0.287160735,7.03E-09
,FBXO42,0.389849358,2.47E-07
,MFAP3,0.133193109,0.302256171
,MRI1,0.25229202,0.006484792
,METTL1,-0.240923966,0.025675857
,HOXC8,0.003928368,NA
,AGA,0.239568388,0.08299633
,PI4K2B,-0.507057621,1.28E-09
,BOD1L1,0.518231085,4.32E-08
,MAT2B,-0.333159122,1.84E-07
,TLL1,0,NA
,EDC4,0.304318462,8.53E-07
,TRIO,0.060122917,0.616333521
,VCAN,0.33381297,0.356659851
,CLEC16A,0.240675446,0.00074522
,MSR1,-0.088495453,0.853020956
,CDH1,0.01191074,NA
,MTREX,-0.262495763,1.01E-05
,DNAH5,-0.272633651,0.309040499
,ZFYVE16,0.879676979,4.91E-17
,RIPOR1,0.262118113,0.009295895
,C6,0.01191074,NA
,RAI14,0.265661866,0.522669464
,SOX30,-0.009920073,NA
,PNKP,0.083575109,0.342856509
,BEST2,0.26445196,NA
,PHLPP2,0.280995929,0.147093071
,SPDL1,-0.301902729,0.000249118
,STAU2,-0.482032531,9.06E-16
,SLC66A1,0.361898647,7.52E-07
,CTNS,0.667272001,1.65E-13
,RTN4R,-1.778040583,1.63E-38
,PHF23,-0.266452572,8.75E-05
,CDH10,0,NA
,INPP4A,0.538352403,6.81E-23
,RAB27B,-2.360589716,1.77E-14
,PSMA4,-0.364483756,1.10E-13
,MYO16,0.026692951,NA
,LSG1,-0.002542141,0.982304533
,PARP3,-0.065286208,0.753159022
,TNC,0.148543958,NA
,THAP3,0.041014871,0.810036174
,RIPOR3,0.280915927,0.371840913
,TDP1,-0.385615456,1.13E-12
,AIFM2,-0.955419825,6.43E-07
,C2orf83,0.001045258,NA
,AL049834.1,0.274904043,0.15618642
,MED17,-0.426075922,5.09E-10
,RETSAT,0.09443092,0.365045549
,CAPG,0.725955234,1.09E-21
,AP2S1,-0.204689052,0.003099498
,USH2A,-0.067758297,0.863638002
,ZPBP,0,NA
,TG,0.122271524,0.807406825
,ADAM28,2.208361394,1.61E-11
,BARX2,0.01191074,NA
,DCUN1D1,-0.053848258,0.662435122
,JADE2,-0.091512614,0.243059219
,ZIC2,-0.515674188,2.62E-06
,LCP2,0.519714234,2.23E-18
,TRIT1,-0.133840458,0.250360171
,ADRB1,0.552882686,0.166980415
,GUCA2B,NA,NA
,CUL7,0.176349518,0.029353795
,CTNNA1,-0.059570429,0.233454464
,PHKA2,0.45170361,3.91E-10
,CNTLN,0.039069387,0.797891102
,EPHA3,0.018475818,NA
,HSPA5,0.089983044,0.370296321
,DSG2,0,NA
,GEMIN8,-0.234390245,0.075999624
,OFD1,0.310758034,4.06E-05
,GPM6B,0.741938367,0.00616203
,MAGEC2,NA,NA
,PREX2,0,NA
,WDR37,0.00122577,0.989059324
,YTHDC2,0.309470445,6.19E-05
,CTPS2,-0.146078163,0.185900488
,ATP6V1H,-0.184175511,0.011954017
,POLR2B,-0.283097814,1.72E-09
,FAM214A,0.701264458,2.31E-07
,ARAP2,-1.052946888,0.002719112
,TPR,-0.00129184,0.990966621
,CP,0.071446722,NA
,KIAA0556,0.273101951,0.008881372
,DTNBP1,-0.14875564,0.312724694
,XK,-1.796767108,3.24E-17
,ANO2,0,NA
,C12orf4,-0.033390419,0.784455548
,SCML1,-0.657119653,7.25E-05
,WWC3,0.460441141,0.000138688
,ARHGAP6,-0.667721478,0.001884088
,FAM184B,0.144993184,0.738808826
,MAP4,-0.008002794,0.935519462
,GOPC,0.052499348,0.53671692
,ROS1,0.961648058,0.004907815
,USP28,0.027509463,0.847131626
,HDAC9,0.388669021,0.00388775
,TSPAN17,0.046625365,0.685021512
,NOP16,-0.57558077,1.55E-11
,CC2D2A,-0.055135648,0.874059664
,RRM2B,0.033928752,0.685933453
,ZNF800,-0.187825126,0.010805426
,TNFRSF17,0.056589236,NA
,SNX29,1.184033745,9.55E-38
,LMO3,0.075148544,NA
,MRPS10,-0.370494767,3.41E-08
,GUCA1A,NA,NA
,RSF1,-0.074099812,0.417328431
,VPS13D,0.691024725,1.40E-13
,CELF2,-0.400762617,4.27E-12
,FAM120A,-0.065031285,0.181336005
,R3HDM1,-0.076741755,0.35924402
,COL9A2,0.310846932,0.016641558
,KITLG,0.024793772,0.964765549
,ERCC8,-0.236994065,0.148735657
,ADAMTS6,0.128011774,0.801410423
,H6PD,0.753781427,1.08E-09
,VAMP3,-0.214564389,0.0128101
,PER3,-0.143170526,0.470749864
,UTS2,0,NA
,TNFRSF9,0.728566912,0.036448907
,EPN3,0.373744224,0.255669919
,LTBP1,0.146934756,0.724563223
,RCN1,-0.40921888,9.11E-08
,ELN,0.018850662,NA
,RFC2,-0.366458691,2.41E-10
,ARID1B,0.25232458,0.003220875
,CLPTM1L,-0.28456807,3.02E-09
,NEDD4L,-1.373286057,3.61E-05
,FOXP3,0.309196614,0.485909197
,PPP1R3F,-0.067742686,0.852426635
,HEXB,1.29480155,2.57E-147
,PTCD2,-0.09866675,0.465452195
,NEXMIF,NA,NA
,JKAMP,-0.162841876,0.061172749
,DKK3,0,NA
,ARHGEF5,NA,NA
,NFE2L3,0.078477332,0.54983552
,MCUR1,-0.576663718,1.48E-15
,LIMA1,-0.149372514,0.068283575
,LETMD1,0.149526234,0.07010029
,SLC4A8,-0.194704453,0.551876885
,LAMC3,-1.066092932,0.002754154
,PTGER3,0.131607597,NA
,TNIP3,-0.064907166,0.901139394
,MAPK9,-0.06602554,0.486431733
,COL23A1,1.790049981,1.12E-137
,BCAR1,0.056474397,NA
,FAM160A2,1.026582251,2.44E-32
,HERPUD1,0.03621917,0.729386133
,HOMER3,0.56230974,4.26E-11
,RAD51,-0.57237962,5.57E-17
,POLQ,0.073947319,0.480822693
,PIK3CB,0.50534481,1.42E-22
,CYBA,0.142890053,0.285284174
,THOC3,-0.294703444,0.007289903
,HEBP2,0.269465019,1.56E-06
,MPHOSPH9,-0.038749059,0.736646044
,PLEKHA5,0.152268807,0.67215296
,PRSS8,0.082421358,0.792307883
,SIKE1,0.103120076,0.281519133
,RRP12,-0.158412601,0.021255436
,FNIP2,1.145176595,4.94E-12
